file,method,cyclomatic,halstead_volume,halstead_difficulty,halstead_effort,operators_distinct,operands_distinct,operators_total,operands_total
AllureStartup.cs,AllureStartup.AllureStartup,2,218.60914478074073,5.523809523809524,1207.5552759317106,8,21,16,29
CLI\Program.cs,Program.Main,8,1624.8474152752017,23.531645569620256,38235.333480969624,26,79,99,143
CLI\Program.cs,Menu.Menu,1,1480.028086662313,10.72340425531915,15870.939482506505,8,47,130,126
CLI\Program.cs,Menu.WhatTypeOfUser,5,439.3192643786829,14.08,6185.615242451855,16,25,38,44
CLI\Program.cs,Menu.ShowAdminMenu,7,605.4501848328625,16.516129032258064,9999.693375304052,16,31,45,64
CLI\Program.cs,Menu.ShowSellerMenu,4,367.35492594105096,14.545454545454545,5343.344377324377,16,22,30,40
CLI\Program.cs,Menu.ShowShopKeeperMenu,8,1114.9585455987626,28.6875,31985.373276864502,27,48,77,102
CLI\Program.cs,Menu.ShowOrderMenu,9,928.8546244203525,21.904761904761905,20346.339392064863,20,42,64,92
CLI\Program.cs,Menu.ShowAvailableProducts,4,601.4316477291359,17.87878787878788,10752.868853339096,20,33,46,59
CLI\Program.cs,Menu.AddItemToCart,3,398.08422511105806,13.681818181818182,5446.515989019476,14,22,34,43
CLI\Program.cs,Menu.UpdateCartItem,4,463.64134954097653,16.363636363636363,7586.858447034161,15,22,41,48
CLI\Program.cs,Menu.RemoveCartItem,3,262.5724044505044,10.472222222222223,2749.7165688288933,13,18,24,29
CLI\Program.cs,Menu.ShowCart,3,343.66196213531276,10.931818181818182,3756.850086070124,13,22,30,37
CLI\Program.cs,Menu.PlaceOrder,2,237.80142289857,13.333333333333334,3170.6856386476,16,15,23,25
CLI\Program.cs,Menu.ShowLoadBatchMenu,3,398.5385081605227,11.120689655172415,4432.023064888572,15,29,30,43
CLI\Program.cs,Menu.ShowAmountOfOrdersForecast,4,1148.7488726413558,13.766666666666666,15814.442813362664,14,60,67,118
CLI\Program.cs,Menu.GetRussianDayOfWeek,1,153.24725426256592,4.235294117647059,649.0471945238086,8,17,15,18
CLI\Program.cs,Menu.ShowUserSegmentation,5,1080.4448856194374,17.963636363636365,19408.71903621826,19,55,70,104
DataBaseConnection\ConnectionToDB.cs,NpgsqlConnectionFactory.NpgsqlConnectionFactory,1,18.094737505048094,2,36.18947501009619,3,3,3,4
DataBaseConnection\ConnectionToDB.cs,NpgsqlConnectionFactory.CreateOpenConnection,1,50.18947501009619,3.2142857142857144,161.32331253245204,5,7,5,9
Domain\AnalysisService.cs,AnalysisService.AnalysisService,4,161.42124551085624,6.708333333333334,1082.8675219686606,7,12,15,23
Domain\AnalysisService.cs,AnalysisService.GetForecastOfOrders,4,230.75303625876498,6.86842105263158,1584.9090121983597,9,19,19,29
Domain\AnalysisService.cs,AnalysisService.GetUserSegmentation,3,240,8.7,2088,12,20,19,29
