order_id,reg_date,counterpart,seller_name,seller_type,order_total,products_count,month
1532,2024-07-18,56,Физическое лицо 'ООО «Лихачев Тимофеева»',покупатель,1669978,10,2024-07
3289,2024-10-22,57,Индивидуальный предприниматель 'ООО «Анисимова»',покупатель,1637852,8,2024-10
2985,2024-11-03,120,Физическое лицо 'Кудряшова и партнеры',покупатель,1530457,8,2024-11
373,2025-03-12,69,Индивидуальный предприниматель 'ОАО «Горбунов»',покупатель,1456803,10,2025-03
241,2024-12-28,37,Юридическое лицо 'АО «Ершов Суханова»',покупатель,1387719,10,2024-12
1808,2024-09-28,114,Физическое лицо 'Воробьева Лтд',покупатель,1359416,10,2024-09
724,2024-07-15,57,Индивидуальный предприниматель 'ООО «Анисимова»',покупатель,1353417,9,2024-07
4277,2024-05-28,61,Индивидуальный предприниматель 'НПО «Алексеева Соколова»',покупатель,1314347,8,2024-05
4219,2025-03-07,69,Индивидуальный предприниматель 'ОАО «Горбунов»',покупатель,1288045,6,2025-03
553,2024-10-23,103,"Индивидуальный предприниматель 'АО «Кудрявцева, Соболева и Зыкова»'",покупатель,1281491,10,2024-10
4698,2024-10-22,37,Юридическое лицо 'АО «Ершов Суханова»',покупатель,1257869,10,2024-10
2906,2024-08-17,20,"Физическое лицо 'АО «Новикова, Горбачева и Русаков»'",покупатель,1255342,10,2024-08
1039,2025-03-17,24,Физическое лицо 'ООО «Сорокина»',покупатель,1247771,6,2025-03
2904,2025-03-16,79,Индивидуальный предприниматель 'ОАО «Новиков»',покупатель,1229569,9,2025-03
244,2024-07-15,114,Физическое лицо 'Воробьева Лтд',покупатель,1220432,10,2024-07
4427,2024-08-15,100,Юридическое лицо 'ЗАО «Сафонова»',покупатель,1214738,9,2024-08
1516,2024-11-20,2,Юридическое лицо 'АО «Лукин»',покупатель,1205344,9,2024-11
65,2024-06-06,38,"Физическое лицо 'НПО «Семенов, Кулакова и Осипова»'",покупатель,1204851,10,2024-06
120,2024-05-10,4,Юридическое лицо 'ИП «Шарапов»',покупатель,1198336,9,2024-05
1667,2024-05-25,132,Юридическое лицо 'Самсонов Групп',покупатель,1190508,10,2024-05
3491,2024-11-06,62,Физическое лицо 'ОАО «Смирнова-Савин»',покупатель,1188643,8,2024-11
585,2024-11-25,146,Физическое лицо 'РАО «Петров»',покупатель,1180601,10,2024-11
1198,2024-08-22,133,Физическое лицо 'Алексеев Лимитед',покупатель,1174926,9,2024-08
371,2024-07-16,150,Индивидуальный предприниматель 'Тойота Мотор (Toyota)',покупатель,1152635,6,2024-07
4525,2025-02-24,119,Индивидуальный предприниматель 'Беляев Инкорпорэйтед',покупатель,1137591,9,2025-02
238,2024-09-06,115,Юридическое лицо 'ОАО «Горбачев Михайлова»',покупатель,1135888,7,2024-09
1003,2024-08-27,103,"Индивидуальный предприниматель 'АО «Кудрявцева, Соболева и Зыкова»'",покупатель,1132579,8,2024-08
4819,2025-05-06,108,"Индивидуальный предприниматель 'ООО «Карпова, Котова и Фокина»'",покупатель,1131260,8,2025-05
2249,2024-08-25,33,Физическое лицо 'АО «Соколова»',покупатель,1130786,8,2024-08
4716,2024-05-29,27,"Индивидуальный предприниматель 'АО «Казакова, Афанасьев и Соловьева»'",покупатель,1124559,10,2024-05
4658,2025-03-04,118,Индивидуальный предприниматель 'ИП «Королев Игнатьева»',покупатель,1102686,10,2025-03
127,2024-06-23,15,Юридическое лицо 'Воробьев Инк',покупатель,1095681,7,2024-06
3231,2025-03-25,44,"Физическое лицо 'РАО «Егоров, Давыдова и Бобылева»'",покупатель,1082448,10,2025-03
4707,2024-11-24,134,Индивидуальный предприниматель 'НПО «Тимофеева»',покупатель,1078770,10,2024-11
498,2024-08-24,38,"Физическое лицо 'НПО «Семенов, Кулакова и Осипова»'",покупатель,1077686,7,2024-08
2828,2024-10-21,61,Индивидуальный предприниматель 'НПО «Алексеева Соколова»',покупатель,1075166,9,2024-10
1128,2024-08-10,59,Физическое лицо 'Арктикгаз',покупатель,1074786,8,2024-08
2053,2024-08-13,70,"Юридическое лицо 'АО «Исакова, Гришин и Лаврентьев»'",покупатель,1072686,7,2024-08
2046,2025-04-09,67,Юридическое лицо 'НПО «Фокин-Калинин»',покупатель,1068746,10,2025-04
3917,2024-11-15,44,"Физическое лицо 'РАО «Егоров, Давыдова и Бобылева»'",покупатель,1067389,10,2024-11
3759,2025-03-07,95,Физическое лицо 'Сорокин Инкорпорэйтед',покупатель,1064549,9,2025-03
465,2025-03-07,128,Юридическое лицо 'ООО «Белова Большаков»',покупатель,1063130,9,2025-03
1854,2024-11-15,64,Юридическое лицо 'Уральский банк реконструкции и развития',покупатель,1057222,10,2024-11
769,2024-10-05,108,"Индивидуальный предприниматель 'ООО «Карпова, Котова и Фокина»'",покупатель,1050477,9,2024-10
2759,2024-08-08,70,"Юридическое лицо 'АО «Исакова, Гришин и Лаврентьев»'",покупатель,1047462,8,2024-08
4534,2025-02-28,59,Физическое лицо 'Арктикгаз',покупатель,1044688,7,2025-02
3145,2024-12-13,150,Индивидуальный предприниматель 'Тойота Мотор (Toyota)',покупатель,1042160,10,2024-12
2617,2025-01-18,65,Физическое лицо 'ООО «Лаврентьев-Воронцов»',покупатель,1039533,10,2025-01
3763,2024-08-11,100,Юридическое лицо 'ЗАО «Сафонова»',покупатель,1033264,10,2024-08
2629,2025-04-18,134,Индивидуальный предприниматель 'НПО «Тимофеева»',покупатель,1028317,10,2025-04
4125,2025-05-02,72,Индивидуальный предприниматель 'ООО «Лукина»',покупатель,1026715,10,2025-05
679,2024-07-19,56,Физическое лицо 'ООО «Лихачев Тимофеева»',покупатель,1022734,8,2024-07
2021,2025-01-17,89,Физическое лицо 'ООО «Логинов-Рогова»',покупатель,1019738,7,2025-01
4141,2024-07-02,94,Юридическое лицо 'АО «Елисеева Муравьев»',покупатель,1011163,10,2024-07
4689,2024-12-14,33,Физическое лицо 'АО «Соколова»',покупатель,1006474,9,2024-12
3601,2025-03-06,134,Индивидуальный предприниматель 'НПО «Тимофеева»',покупатель,1004891,9,2025-03
102,2024-12-25,147,Физическое лицо 'ИП «Агафонов Козлова»',покупатель,1003274,10,2024-12
2839,2024-08-14,88,Физическое лицо 'Военторг',покупатель,1002990,8,2024-08
427,2025-02-21,148,Индивидуальный предприниматель 'ЗАО «Потапова Ильина»',покупатель,999566,10,2025-02
1979,2025-01-01,50,Юридическое лицо 'Трофимов Лимитед',покупатель,991794,10,2025-01
2299,2024-08-02,149,Юридическое лицо 'ОАО «Гаврилов-Васильева»',покупатель,988540,10,2024-08
1411,2025-03-02,131,Юридическое лицо 'АО «Титова Туров»',покупатель,982643,10,2025-03
1316,2025-03-15,137,Физическое лицо 'ООО «Цветкова»',покупатель,973095,8,2025-03
1478,2024-11-08,69,Индивидуальный предприниматель 'ОАО «Горбунов»',покупатель,970583,8,2024-11
813,2024-08-28,32,Физическое лицо 'НПО «Кононов»',покупатель,968804,8,2024-08
1377,2025-01-18,63,Индивидуальный предприниматель 'НПО «Ефимов»',покупатель,967372,10,2025-01
643,2025-03-26,71,"Индивидуальный предприниматель 'НПО «Бурова, Ильина и Дементьев»'",покупатель,965697,10,2025-03
1618,2025-01-13,133,Физическое лицо 'Алексеев Лимитед',покупатель,956902,6,2025-01
4997,2025-01-05,131,Юридическое лицо 'АО «Титова Туров»',покупатель,956333,8,2025-01
143,2024-12-25,24,Физическое лицо 'ООО «Сорокина»',покупатель,954356,8,2024-12
4616,2025-02-14,137,Физическое лицо 'ООО «Цветкова»',покупатель,943008,6,2025-02
1623,2025-03-22,89,Физическое лицо 'ООО «Логинов-Рогова»',покупатель,942930,8,2025-03
298,2025-04-19,62,Физическое лицо 'ОАО «Смирнова-Савин»',покупатель,942102,10,2025-04
1739,2024-07-25,11,Индивидуальный предприниматель 'НПО «Шарапов Белоусов»',покупатель,937230,2,2024-07
965,2024-10-20,88,Физическое лицо 'Военторг',покупатель,933355,8,2024-10
2294,2024-07-27,78,Юридическое лицо 'НПФ Газфонд пенсионные накопления',покупатель,932779,6,2024-07
4406,2025-02-02,11,Индивидуальный предприниматель 'НПО «Шарапов Белоусов»',покупатель,931127,10,2025-02
211,2024-10-27,106,Юридическое лицо 'НПО «Туров»',покупатель,926382,8,2024-10
761,2024-10-02,33,Физическое лицо 'АО «Соколова»',покупатель,918756,5,2024-10
3007,2025-04-05,107,"Юридическое лицо 'РАО «Некрасова, Ершов и Попов»'",покупатель,916021,9,2025-04
3865,2025-03-12,38,"Физическое лицо 'НПО «Семенов, Кулакова и Осипова»'",покупатель,912163,8,2025-03
3433,2025-03-02,8,Физическое лицо 'АО «Козлова Цветков»',покупатель,905816,8,2025-03
2591,2025-05-09,48,Юридическое лицо 'Горбунов Инк',покупатель,905530,8,2025-05
3668,2025-01-05,74,Юридическое лицо 'Банк Возрождение',покупатель,902645,9,2025-01
4681,2025-03-06,21,"Индивидуальный предприниматель 'ИП «Крылов, Корнилов и Попова»'",покупатель,900081,10,2025-03
578,2024-12-09,74,Юридическое лицо 'Банк Возрождение',покупатель,897323,8,2024-12
1355,2024-08-01,119,Индивидуальный предприниматель 'Беляев Инкорпорэйтед',покупатель,897109,10,2024-08
2457,2024-11-12,98,Индивидуальный предприниматель 'ЗАО «Алексеев Королева»',покупатель,896294,7,2024-11
184,2025-02-25,21,"Индивидуальный предприниматель 'ИП «Крылов, Корнилов и Попова»'",покупатель,894641,7,2025-02
3726,2024-11-19,44,"Физическое лицо 'РАО «Егоров, Давыдова и Бобылева»'",покупатель,893461,9,2024-11
1636,2024-11-10,53,Индивидуальный предприниматель 'Спар Миддл Волга',покупатель,892024,8,2024-11
4597,2025-02-27,11,Индивидуальный предприниматель 'НПО «Шарапов Белоусов»',покупатель,891973,7,2025-02
1906,2025-04-09,59,Физическое лицо 'Арктикгаз',покупатель,887830,9,2025-04
3743,2025-02-06,56,Физическое лицо 'ООО «Лихачев Тимофеева»',покупатель,884989,9,2025-02
3487,2025-03-15,44,"Физическое лицо 'РАО «Егоров, Давыдова и Бобылева»'",покупатель,877664,9,2025-03
2916,2025-02-27,62,Физическое лицо 'ОАО «Смирнова-Савин»',покупатель,876044,10,2025-02
1239,2024-06-01,27,"Индивидуальный предприниматель 'АО «Казакова, Афанасьев и Соловьева»'",покупатель,875437,6,2024-06
1964,2025-01-21,97,Юридическое лицо 'ОАО «Белозеров»',покупатель,875029,4,2025-01
3695,2024-12-18,70,"Юридическое лицо 'АО «Исакова, Гришин и Лаврентьев»'",покупатель,873696,9,2024-12
4303,2024-10-23,119,Индивидуальный предприниматель 'Беляев Инкорпорэйтед',покупатель,869083,9,2024-10
3893,2025-01-20,4,Юридическое лицо 'ИП «Шарапов»',покупатель,863978,8,2025-01
3954,2024-08-29,108,"Индивидуальный предприниматель 'ООО «Карпова, Котова и Фокина»'",покупатель,863597,8,2024-08
2569,2024-10-16,58,Юридическое лицо 'ЗАО «Меркушев»',покупатель,862921,8,2024-10
158,2024-08-28,113,Юридическое лицо 'Никифорова Групп',покупатель,858359,10,2024-08
808,2025-01-12,58,Юридическое лицо 'ЗАО «Меркушев»',покупатель,858208,9,2025-01
1671,2024-05-25,102,Юридическое лицо 'Михайлова Инк',покупатель,856622,9,2024-05
810,2024-08-02,65,Физическое лицо 'ООО «Лаврентьев-Воронцов»',покупатель,856040,10,2024-08
695,2025-02-20,128,Юридическое лицо 'ООО «Белова Большаков»',покупатель,854914,9,2025-02
2161,2025-02-14,59,Физическое лицо 'Арктикгаз',покупатель,853097,7,2025-02
2899,2025-02-07,148,Индивидуальный предприниматель 'ЗАО «Потапова Ильина»',покупатель,852402,9,2025-02
4105,2024-06-11,150,Индивидуальный предприниматель 'Тойота Мотор (Toyota)',покупатель,851986,10,2024-06
147,2024-06-19,5,Юридическое лицо 'РАО «Ковалева»',покупатель,851617,5,2024-06
1602,2024-06-09,119,Индивидуальный предприниматель 'Беляев Инкорпорэйтед',покупатель,851299,10,2024-06
138,2024-07-18,137,Физическое лицо 'ООО «Цветкова»',покупатель,850886,10,2024-07
1917,2025-03-13,118,Индивидуальный предприниматель 'ИП «Королев Игнатьева»',покупатель,850745,10,2025-03
1849,2024-10-22,62,Физическое лицо 'ОАО «Смирнова-Савин»',покупатель,850573,9,2024-10
1168,2024-06-09,48,Юридическое лицо 'Горбунов Инк',покупатель,848041,9,2024-06
4461,2024-12-29,128,Юридическое лицо 'ООО «Белова Большаков»',покупатель,844443,8,2024-12
3938,2024-07-29,8,Физическое лицо 'АО «Козлова Цветков»',покупатель,844407,9,2024-07
397,2024-08-08,78,Юридическое лицо 'НПФ Газфонд пенсионные накопления',покупатель,843328,9,2024-08
828,2024-07-30,58,Юридическое лицо 'ЗАО «Меркушев»',покупатель,841630,10,2024-07
1483,2025-01-20,5,Юридическое лицо 'РАО «Ковалева»',покупатель,841616,9,2025-01
2506,2025-04-10,62,Физическое лицо 'ОАО «Смирнова-Савин»',покупатель,838702,6,2025-04
3137,2025-02-19,38,"Физическое лицо 'НПО «Семенов, Кулакова и Осипова»'",покупатель,838661,10,2025-02
4027,2024-05-24,122,Физическое лицо 'РАО «Селиверстов-Селезнева»',покупатель,837753,5,2024-05
4694,2025-03-25,127,Юридическое лицо 'Газпром бурение',покупатель,835133,6,2025-03
1251,2025-02-18,4,Юридическое лицо 'ИП «Шарапов»',покупатель,835115,7,2025-02
2818,2024-06-16,79,Индивидуальный предприниматель 'ОАО «Новиков»',покупатель,834974,10,2024-06
4189,2025-03-13,113,Юридическое лицо 'Никифорова Групп',покупатель,831272,10,2025-03
111,2024-08-08,2,Юридическое лицо 'АО «Лукин»',покупатель,830742,8,2024-08
1816,2024-08-25,58,Юридическое лицо 'ЗАО «Меркушев»',покупатель,830222,5,2024-08
2273,2024-07-02,98,Индивидуальный предприниматель 'ЗАО «Алексеев Королева»',покупатель,829460,10,2024-07
832,2025-04-20,29,Индивидуальный предприниматель 'НПО «Потапова Нестеров»',покупатель,826948,7,2025-04
1799,2024-09-04,150,Индивидуальный предприниматель 'Тойота Мотор (Toyota)',покупатель,826601,6,2024-09
3672,2025-02-28,38,"Физическое лицо 'НПО «Семенов, Кулакова и Осипова»'",покупатель,825595,9,2025-02
2112,2024-09-14,122,Физическое лицо 'РАО «Селиверстов-Селезнева»',покупатель,824039,10,2024-09
2066,2024-06-21,103,"Индивидуальный предприниматель 'АО «Кудрявцева, Соболева и Зыкова»'",покупатель,823976,7,2024-06
4366,2024-10-01,27,"Индивидуальный предприниматель 'АО «Казакова, Афанасьев и Соловьева»'",покупатель,823327,10,2024-10
2620,2025-03-26,53,Индивидуальный предприниматель 'Спар Миддл Волга',покупатель,822822,6,2025-03
554,2024-08-24,122,Физическое лицо 'РАО «Селиверстов-Селезнева»',покупатель,820388,7,2024-08
3066,2024-08-11,107,"Юридическое лицо 'РАО «Некрасова, Ершов и Попов»'",покупатель,820252,10,2024-08
875,2024-11-09,57,Индивидуальный предприниматель 'ООО «Анисимова»',покупатель,816755,5,2024-11
3375,2024-05-29,59,Физическое лицо 'Арктикгаз',покупатель,815591,10,2024-05
572,2024-07-18,94,Юридическое лицо 'АО «Елисеева Муравьев»',покупатель,814280,10,2024-07
150,2024-05-28,29,Индивидуальный предприниматель 'НПО «Потапова Нестеров»',покупатель,813733,7,2024-05
235,2024-09-29,113,Юридическое лицо 'Никифорова Групп',покупатель,812390,4,2024-09
